HandID,PotOdds,Turn,TablePosition,BigBlindsLeft,Aggression,NumberOfPlayersLeft,HandRank,HandEquity,Decision
19273420678,0.5,preflop,0.3333333333333333,0.0,0.6666666666666666,7,260,0.15384615384615385,FOLD
19273441065,0.7083333333333334,preflop,0.42857142857142855,0.0,0.5555555555555556,8,184,0.04142011834319527,FOLD
19273457554,0.29411764705882354,preflop,0.5,0.0,0.3684210526315789,11,322,0.6035502958579881,FOLD
19273485532,0.4166666666666667,preflop,0.5454545454545454,0.0,0.3088235294117647,12,182,0.03550295857988166,FOLD
19273511153,0.4166666666666667,preflop,0.6153846153846154,0.0,0.2777777777777778,14,334,0.9526627218934911,RAISE
19273511153,0.0,flop,1.0,0.0,0.3380281690140845,7,368795,0.8261973575082087,BET
19273511153,0.0,turn,1.0,0.0,0.3291139240506329,7,368837,0.7611023667163334,CHECK
19273511153,0.5044598612487612,river,1.0,0.0,0.34523809523809523,7,368866,0.8806003333975263,FOLD
19273536775,0.7142857142857143,preflop,0.6428571428571429,0.0,0.28169014084507044,15,288,0.27218934911242604,FOLD
19273567133,0.5,preflop,1.0,0.0,0.3813559322033898,9,162,0.15976331360946747,FOLD
19273582921,0.35135135135135137,preflop,0.8181818181818182,0.0,0.32934131736526945,12,260,0.15384615384615385,FOLD
19273614050,0.29411764705882354,preflop,0.7857142857142857,0.0,0.3080168776371308,15,182,0.03550295857988166,FOLD
19273635708,0.4166666666666667,preflop,0.7333333333333333,0.0,0.29699248120300753,16,304,0.834319526627219,FOLD
19273653035,0.7142857142857143,preflop,0.8,0.0,0.3321554770318021,16,322,0.6035502958579881,FOLD
19273682667,0.7142857142857143,preflop,0.8421052631578947,0.0,0.2904040404040404,20,312,0.5029585798816568,FOLD
